161;CAPILLA SAN PEDRO   ;820
162;CAPILLA SAN FELIPE  ;674
163;SEGURIDAD           ;749
164;SEGURIDAD           ;971
165;SEGURIDAD           ;1036
166;MANTENIMIENTO       ;923
167;COBRANZA            ;305
168;DISENO Y PUBLICIDAD ;341
169;VENTAS              ;898
170;MANTENIMIENTO       ;639
171;CAPILLA SAN PEDRO   ;356
172;COBRANZA            ;254
173;VENTAS              ;257
174;SISTEMAS            ;306
175;CAPILLA SAN PEDRO   ;207
176;SEGURIDAD           ;1032
177;PROYECTOS Y CONSTRUC;331
178;SEGURIDAD           ;919
179;RH NOMINAS          ;304
180;MANTENIMIENTO       ;588
181;CAPILLAS GUADALUPE  ;1051
182;CONSTRUCCION        ;981
183;MANTENIMIENTO       ;220
184;CAPILLA SAN FELIPE  ;482
185;CAPILLA SAN PEDRO   ;334
186;SEGURIDAD           ;973
187;CONSTRUCCION        ;984
188;CAPILLA CENTRO      ;1059
189;CAPILLA SAN PEDRO   ;726
190;SISTEMAS            ;343
191;SEGURIDAD           ;954
192;SEGURIDAD           ;856
193;MANTENIMIENTO       ;616
194;ADMINISTRACION      ;224
195;MANTENIMIENTO       ;680
196;TELEMARKETING       ;1023
197;SEGURIDAD           ;1010
198;RH NOMINAS          ;286
199;LABORATORIO EMBALSAM;250
200;CAPILLA SAN NICOLAS ;683
201;ADMINISTRACION      ;246
202;ADMINISTRACION      ;265
203;MANTENIMIENTO       ;466
204;SEGURIDAD           ;887
205;DISENO Y PUBLICIDAD ;293
206;VENTAS              ;1026
207;CONTABILIDAD        ;346
208;CAPILLA SAN PEDRO   ;1052
209;CAPILLA SAN FELIPE  ;872
210;CAPILLA SAN PEDRO   ;213
211;COBRANZA            ;260
212;CONSTRUCCION        ;979
213;CONSTRUCCION        ;980
214;MANTENIMIENTO       ;659
215;CAPILLA SAN PEDRO   ;354
216;CONSTRUCCION        ;991
217;VENTAS              ;1015
218;CAPILLA SAN NICOLAS ;201
219;SEGURIDAD           ;790
220;MANTENIMIENTO       ;888
221;VENTAS              ;1034
222;CONSTRUCCION        ;985
223;CONSTRUCCION        ;840
224;CAPILLA SAN PEDRO   ;958
225;CAPILLA SAN NICOLAS ;228
226;DISENO Y PUBLICIDAD ;226
227;VENTAS              ;1014
228;VENTAS              ;1000
229;CAPILLA SAN PEDRO   ;319
230;ADMINISTRACION      ;191
231;SEGURIDAD           ;858
232;VENTAS              ;211
